Country,Beef Consumption in KG Per Capita 2022,GDP Per Capita 2022,"Beef Imports Carcass wt. 1,000 pounds 2024",Urban Population,Business Difficulty,Rank,pH Factor
Namibia,5.24,"$12,597.89",3.00,1626324,Medium,104,
Chile,27.33,"$1,648.51",18.43,17302134,Easy,59,
Turkey,18.56,"$56,040.30",56.44,66096052,Very Easy,33,
Honduras,6.23,"$4,569.11",57.12,6409478,Medium,133,
Dominican Republic,6.25,"$2,486.41",503.59,9568800,Medium,115,
United Kingdom,17.30,"$78,114.62",632.50,57852807,Very Easy,8,
France,23.22,"$3,600.64",2397.40,55843458,Very Easy,32,
Ireland,23.63,"$5,356.16",2946.08,3421597,Very Easy,24,
Japan,9.48,"$6,153.06",4275.21,114608860,Very Easy,29,
Netherlands,16.73,"$13,301.92",8021.91,16657719,Very Easy,42,
Costa Rica,13.22,"$2,173.77",32457.67,4218287,Easy,74,
Paraguay,10.63,"$18,984.85",46248.92,4322010,Medium,125,
Argentina,45.95,$558.30,98996.44,42106172,Medium,126,
Nicaragua,2.63,"$15,338.20",154653.66,4083864,Medium,142,
Uruguay,15.44,"$91,420.00",309046.12,3244799,Medium,101,
New Zealand,21.36,"$15,295.10",559069.40,4543314,Very Easy,1,
Mexico,15.27,"$10,111.25",596807.88,105844290,Easy,60,
Brazil,34.59,"$1,054.19",690929.67,185356223,Medium,124,
Canada,25.54,"$1,504.13",1013091.82,32824829,Very Easy,23,
Australia,25.99,$592.13,1114923.07,23091181,Very Easy,14,
Afghanistan,1.99,$312.87,,11165011,Below Average,173,
Albania,15.19,$326.65,,1773980,Easy,82,
Algeria,3.46,$344.65,,34746884,Below Average,158,
American Samoa,,,,41455,,,
Andorra,,$404.54,,70971,,,
Angola,3.51,$422.98,,25242775,Below Average,177,
Anguilla,,$429.40,,,,,
Antigua and Barbuda,12.42,$505.04,,22706,Medium,113,
Armenia,25.76,$588.17,,1906370,Very Easy,47,
Aruba,,$590.45,,47511,,,
Austria,14.48,$615.46,,5436137,Very Easy,27,
Azerbaijan,15.03,$615.76,,5846344,Very Easy,34,
Bahamas,11.09,$631.77,,334032,Medium,119,
Bahrain,15.49,$646.93,,1417287,Very Easy,43,
Bangladesh,1.26,$783.57,,69397835,Below Average,168,
Barbados,14.81,$824.67,,88724,Medium,128,
Belarus,22.63,$833.30,,7409732,Very Easy,49,
Belgium,12.93,$840.48,,11573953,Very Easy,46,
Belize,4.97,$845.76,,191608,Medium,135,
Benin,2.75,$913.93,,7069628,Below Average,150,
Bermuda,,$947.85,,64698,,,
Bhutan,7.30,$964.27,,348762,Easy,89,
Bolivia,22.18,$966.31,,8716127,Below Average,151,
Bosnia and Herzegovina,13.27,$992.00,,1601104,Easy,90,
Botswana,13.08,"$1,021.04",,1807279,Easy,87,
British Virgin Islands,,"$1,153.77",,19394,,,
Brunei,,"$1,203.63",,363254,Easy,66,
Bulgaria,3.61,"$1,290.01",,4944604,Easy,61,
Burkina Faso,5.72,"$1,302.85",,7487982,Below Average,152,
Burundi,1.31,"$1,385.76",,2023848,Below Average,166,
Cambodia,4.39,"$1,455.55",,4455286,Medium,144,
Cameroon,4.34,"$1,489.75",,16829259,Below Average,167,
Cape Verde,3.42,"$1,588.48",,355091,Medium,137,
Cayman Islands,,"$1,604.02",,73038,,,
Central African Republic,18.76,"$1,618.58",,2247177,Below Average,184,
Chad,28.45,"$1,618.73",,4707283,Below Average,182,
Channel Islands,,,,52251,,,
China,8.13,"$1,704.39",,910895447,Very Easy,31,
Colombia,12.66,"$1,759.61",,43088562,Easy,67,
Comoros,5.61,"$2,040.34",,256239,Below Average,160,
Congo,,,,4277814,Below Average,180,
Cook Islands,,"$2,099.30",,,,,
Cote d'Ivoire,,,,16564233,,,
Croatia,14.46,"$2,203.56",,2260811,Very Easy,51,
Cuba,8.09,"$2,205.31",,8542981,,,
Curacao,,"$2,255.42",,131631,,,
Cyprus,8.20,"$2,321.61",,900959,Easy,54,
Czech Republic,10.78,"$2,321.97",,,Very Easy,41,
Czechia,,,,8099361,,,
Democratic Republic of Congo,,,,50190880,Below Average,183,
Denmark,21.93,"$2,389.30",,5262755,Very Easy,4,
Djibouti,5.85,"$2,404.62",,905661,Medium,112,
Dominica,10.37,"$2,445.39",,47891,Medium,111,
DR Congo,0.32,"$2,527.52",,,,,
